Academic Year,Districts,Junior Colleges,Degree Colleges,Degree Colleges Seats,Engineering Colleges,Engineering Colleges Seats,Pharmacy Colleges,Pharmacy Colleges Seats,MBA Colleges,MBA Colleges Seats,MCA Colleges,MCA Colleges Seats,B.Ed. Colleges,B.Ed. Colleges Seats,Law Colleges,Law Colleges Seats
2020-21,Hyderabad,,95,,20,,12,,53,,15,,17,,19,
2020-21,Ranga Reddy,,67,,44,,37,,65,,1,,25,,22,
2020-21,Medchal-Malkajigiri,,66,,46,,7,,57,,10,,16,,4,
2020-21,Vikarabad,,11,,0,,0,,1,,0,,3,,0,
2020-21,Medak,,11,,1,,5,,2,,0,,10,,2,
2020-21,Sangareddy,,18,,5,,1,,1,,0,,3,,0,
2020-21,Siddipet,,15,,1,,1,,3,,1,,4,,0,
2020-21,Jayashankar,,5,,0,,0,,0,,0,,0,,0,
2020-21,Jangaon,,14,,1,,2,,0,,0,,4,,0,
2020-21,Mahabubabad,,13,,0,,0,,0,,0,,3,,0,
2020-21,Warangal Rural,,3,,3,,4,,7,,0,,9,,4,
2020-21,Warangal Urban,,23,,13,,15,,22,,6,,7,,9,
2020-21,Bhadradri Kothagudem,,19,,5,,3,,4,,0,,5,,1,
2020-21,Khammam,,43,,9,,7,,12,,0,,12,,2,
2020-21,Adilabad,,33,,0,,0,,0,,0,,3,,0,
2020-21,Komaram Bheem Asifabad,,8,,0,,0,,0,,0,,2,,0,
2020-21,Mancherial,,21,,1,,0,,1,,0,,0,,0,
2020-21,Nirmal,,14,,0,,0,,0,,0,,0,,0,
2020-21,Kamareddy,,17,,1,,0,,0,,0,,5,,0,
2020-21,Nizamabad,,37,,4,,2,,6,,1,,10,,0,
2020-21,Nalgonda,,33,,2,,6,,4,,1,,21,,2,
2020-21,Suryapet,,27,,5,,6,,4,,0,,6,,2,
2020-21,Yadadri Bhuvanagiri,,19,,6,,4,,8,,0,,4,,0,
2020-21,Jogulamba Gadwal,,9,,0,,0,,0,,0,,4,,0,
2020-21,Mahabubnagar,,7,,2,,3,,4,,0,,13,,1,
2020-21,Nagarkurnool,,14,,0,,0,,1,,0,,5,,0,
2020-21,Wanaparthy,,12,,0,,0,,1,,0,,5,,0,
2020-21,Jagtial,,19,,1,,0,,0,,0,,3,,0,
2020-21,Karimnagar,,26,,9,,6,,16,,3,,17,,3,
2020-21,Peddapalli,,18,,3,,1,,4,,0,,3,,0,
2020-21,Rajanna Sircilla,,14,,0,,0,,0,,0,,1,,0,
