Districts,Primary Schools,Primary Schools Enrollment,Upper Primary Schools,Upper Primary Schools Enrollment,High Schools,High Schools Enrollment
ADILABAD,1258,69959,405,37349,232,21046
BHADRADRI KOTHAGUDEM,1460,78426,526,46678,286,28511
HYDERABAD,2524,447150,2172,235356,1462,144171
JAGTIAL,867,69548,545,38807,343,27320
JANGAON,511,35033,290,23531,190,15440
JAYASHANKAR,884,45833,351,24230,225,15190
JOGULAMBA GADWAL,496,58355,276,29019,148,15457
KAMAREDDY,1024,76700,505,42402,291,26341
KARIMNAGAR,781,67725,500,40878,371,29054
KHAMMAM,1353,99198,715,59310,433,38662
KUMURAM BHEEM ASIFABAD,1127,50497,315,25165,151,13266
MAHABUBABAD,985,54929,373,30583,224,18962
MAHABUBNAGAR,1556,135029,766,72754,409,41880
MANCHERIAL,880,54614,426,35625,255,22341
MEDAK,881,62055,404,37258,220,22593
MEDCHAL-MALKAJGIRI,1733,299211,1395,157681,952,95655
NAGARKURNOOL,908,65305,422,37035,223,21782
NALGONDA,1603,124875,760,67576,495,42351
NIRMAL,885,63621,399,33073,220,19402
NIZAMABAD,1402,135715,816,74138,506,47836
PEDDAPALLI,619,45549,363,28363,231,19352
RAJANNA SIRCILLA,493,35255,279,19950,205,13870
RANGAREDDY,2401,320704,1677,168856,1009,96326
SANGAREDDY,1477,140974,782,74266,433,44476
SIDDIPET,952,72102,550,45533,370,29791
SURYAPET,1017,72181,503,40634,347,27127
VIKARABAD,1069,80130,478,46008,287,27121
WANAPARTHY,555,44150,286,25189,172,16106
WARANGAL RURAL,650,43667,356,24302,248,17102
WARANGAL URBAN,802,80118,572,50922,415,35824
YADADRI BHUVANAGIRI,692,49578,376,31295,266,20003
