Districts,Primary Schools,Primary Schools Enrollment,Upper Primary Schools,Upper Primary Schools Enrollment,High Schools,High Schools Enrollment,Higher Secondary Schools,Higher Secondary Schools Enrollment
Jayashankar,329,10194,75,5773,123,24178,11,5419
Mulugu,376,9635,69,4581,104,21653,8,3773
Jogulamba Gadwal,294,26303,144,20356,154,54297,8,3154
Jangaon,352,12940,93,7186,178,44562,18,9350
Rajanna Sircilla,346,16384,86,7148,204,38755,17,8305
Narayanpet,359,24841,152,22071,139,45013,10,4060
Wanaparthy,370,20156,130,14113,192,52437,4,2285
Peddapalli,377,13285,141,11231,232,62024,17,8844
Warangal Rural,471,14907,135,9359,249,52418,20,10002
Yadadri Bhuvanagiri,498,18292,130,11671,275,69214,16,8873
Karimnagar,445,16376,159,12080,368,101599,23,13820
Warangal Urban,370,21756,190,14828,443,128583,15,8613
Nirmal,595,24747,211,24325,228,67848,11,5228
Mancherial,589,19985,175,13401,267,72098,17,8270
Medak,640,31627,187,21659,215,61249,18,8855
Nagarkurnool,633,26346,218,24321,236,66904,9,4243
Jagtial,532,26313,245,23934,340,78354,19,10351
Mahabubnagar,679,33514,195,23909,287,88336,12,4539
Mahabubabad,798,22380,172,13005,213,55258,20,10291
Kamareddy,716,36790,215,24148,282,71410,34,14560
Siddipet,657,34005,188,17753,373,83333,32,16723
Kumuram Bheem,910,24315,176,17615,158,43949,9,3531
Suryapet,717,29353,177,16811,346,79962,29,13087
Vikarabad,785,40239,187,19502,281,78328,32,12960
Adilabad,988,34011,181,20510,237,69488,12,6563
Khammam,875,39946,280,20983,445,123449,19,10027
Bhadradri Kothagudem,1082,37610,251,19136,304,92676,7,3306
Nizamabad,835,48515,339,39747,514,165625,38,16997
Sangareddy,906,52204,364,41720,440,155666,26,14420
Medchal-Malkajgiri,403,39060,459,64883,968,441066,25,22708
Nalgonda,1201,50209,280,35773,494,139148,44,22332
Rangareddy,949,67402,680,94114,1039,441636,43,26877
Hyderabad,676,94740,672,104661,1519,656183,18,25845
