Districts,Primary Schools,Primary Schools Enrollment,Upper Primary Schools,Upper Primary Schools Enrollment,High Schools,High Schools Enrollment,Higher Secondary Schools,Higher Secondary Schools Enrollment,Total Schools,Total Enrollment
ADILABAD,986,33961,182,19534,237,68826,17,8138,1422,130459
KUMURAM BHEEM,911,24959,181,17168,153,41889,15,5499,1260,89515
NIRMAL,595,24759,203,21942,225,62976,15,6791,1038,116468
MANCHERIAL,594,19553,174,12442,264,68261,24,10873,1056,111129
JAGTIAL,533,26988,248,22957,341,77387,19,10766,1141,138098
NIZAMABAD,829,48977,353,35732,515,156003,49,22058,1746,262770
PEDDAPALLI,376,12976,142,10726,226,58116,18,9233,762,91051
JAYASHANKAR,328,9941,74,5383,123,23601,12,5727,537,44652
RAJANNA SIRCILLA,346,17263,84,7210,204,38681,18,9355,652,72509
KAMAREDDY,717,36775,216,23315,282,68679,42,18365,1257,147134
KARIMNAGAR,446,16281,157,12055,371,100999,27,15774,1001,145109
MULUGU,373,9882,67,4265,103,20720,11,4702,554,39569
MEDAK,637,30720,185,19894,216,60287,19,9726,1057,120627
SIDDIPET,658,32901,190,17100,375,83000,35,18351,1258,151352
HANUMAKONDA,366,20178,193,15508,445,126682,19,10759,1023,173127
WARANGAL,472,14305,131,8424,236,47884,25,11562,864,82175
JANGAON,352,12397,92,6707,175,41800,22,10626,641,71530
SANGAREDDY,904,50565,379,42372,454,160095,31,16184,1768,269216
BHADRADRI KOTHAGUDEM,1091,37232,253,18819,303,89405,19,7835,1666,153291
MAHABUBABAD,798,21266,171,12237,213,54748,25,12622,1207,100873
MEDCHAL-MALKAJGIRI,399,39303,493,77046,1014,467827,18,21964,1924,606140
HYDERABAD,666,88125,674,103251,1543,656081,19,25492,2902,872949
YADADRI BHUVANAGIRI,497,18472,130,10971,274,64099,18,9843,919,103385
KHAMMAM,872,38827,282,19883,431,119276,32,15029,1617,193015
VIKARABAD,789,38760,190,19744,291,80326,24,11905,1294,150735
RANGAREDDY,966,65658,699,98917,1050,440938,46,31533,2761,637046
SURYAPET,718,28335,177,16423,344,77355,31,14749,1270,136862
NALGONDA,1206,47476,288,31538,500,131795,43,23890,2037,234699
MAHABUBNAGAR,675,31704,202,23157,287,88123,18,7444,1182,150428
NARAYANPET,356,23719,153,21899,136,44123,12,5710,657,95451
NAGARKURNOOL,635,25673,226,24183,235,65370,13,5400,1109,120626
WANAPARTHY,369,19155,133,13443,194,51707,8,4458,704,88763
JOGULAMBA GADWAL,292,26088,149,20297,161,54781,10,4425,612,105591
