Districts,Primary Schools Enrollment,Upper Primary Schools Enrollment,High Schools Enrollment,Primary Dropout Rate (%),Upper Primary Dropout Rate (%),High School Dropout Rate (%),Estimated Primary Dropouts,Estimated Upper Primary Dropouts,Estimated High School Dropouts,Dropout Data Year,Dropout Data Source,Count Note
ADILABAD,40021,20808,74146,-0.31,5.43,7.13,,1130,5287,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
BHADRADRI,42388,24816,96971,-2.63,2.54,14.35,,630,13915,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
HYDERABAD,316183,118543,410232,7.37,7.78,5.84,23303,9223,23958,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
JAGTIAL,31780,31175,87353,-0.03,1.07,13.03,,334,11382,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
JANGAON,17729,10133,58787,-3.31,1.12,16.65,,113,9788,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
JAYASHANKAR,24762,13846,58948,-1.94,0.22,26.08,,30,15374,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
JOGULAMBA,28867,23513,51126,-3.43,3.01,23.37,,708,11948,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
KAMAREDDY,41841,26187,85104,-3.11,3.22,10.65,,843,9064,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
KARIMNAGAR,20964,17595,113743,0.06,1.38,-1.46,13,243,,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
KHAMMAM,47624,28928,132465,-1.68,1.05,5.59,,304,7405,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
KOMARAM BHEEM,29916,20276,43416,0.53,3.51,11.91,159,712,5171,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
MAHABUBABAD,28802,20748,69656,-4.93,3.32,20.23,,689,14091,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
MAHABUBNAGAR,72643,51470,129929,-3.03,1.06,9.87,,546,12824,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
MANCHERIAL,24172,17764,82421,-1.11,1.62,12.76,,288,10517,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
MEDAK,38236,24258,64717,-5.11,1.24,16.09,,301,10413,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
MEDCHAL,48968,64648,397963,-2.82,1.76,26.71,,1138,106296,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
NAGARKURNOOL,38739,31371,64774,-5.38,2.59,15.01,,813,9723,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
NALGONDA,58767,39880,156501,2.57,3.3,16.13,1510,1316,25244,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
NIRMAL,27832,24890,66724,2.16,5.21,11.37,601,1297,7587,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
NIZAMABAD,56929,38777,180119,0.08,3.12,13.45,46,1210,24226,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
PEDDAPALLI,16941,13477,74711,-3.74,-0.69,12.75,,,9526,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
RAJANNA,18455,8129,47576,-7.43,0.64,14.88,,52,7079,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
RANGAREDDY,71417,92716,373209,-2.55,1.17,14.92,,1085,55683,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
SANGAREDDY,64175,45345,154099,-3.44,3.76,22.24,,1705,34272,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
SIDDIPET,40304,20520,101192,-2.52,0.88,9.5,,181,9613,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
SURYAPET,37908,20455,96722,-4.15,2.45,14.6,,501,14121,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
VIKARABAD,48636,24693,89853,0.17,4.9,17.79,83,1210,15985,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
WANAPARTHY,25933,18973,52143,-2.34,5.35,8.78,,1015,4578,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
WARANGAL (R),23218,14682,62577,3.83,2.1,16.37,889,308,10244,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
WARANGAL (U),25266,18418,138430,3.56,3.25,2.93,899,599,4056,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
YADADRI,22022,12075,73854,-5.48,1.28,15.82,,155,11684,2021-22,Telangana State Statistical Abstract 2022 / UDISE 2021-22,Estimated from uploaded enrollment × dropout rate; use rates as the official metric.
