S.No.,Name of the EV Charging Station (Private / Public Charging Infra),State,District,Address,Latitude,Longitude,Name of the Owning Organisation/ Person
1,K Krishnarjun Rao Filling Station IOCL,Telangana,Bhadradri Kothagudem,National Highway 221 Nakiripeta Telangana-507114,17.6420704,80.7100788,TATA Power Company Limited
2,"IOCL-Sri Ravi FS, Palvancha",Telangana,Bhadradri,"Indira Nagar Colony, Khammam Vil-221,Kothagudem, Bhadrachalam, Telangana-507115",17.5987811,80.704213,TATA Power Company Limited
3,IOCL Orugallu FS,Telangana,Hanamkonda,Humar Road shyampet Hanumakonda Telangana-506001,17.9852518,79.5716457,TATA Power Company Limited
4,IOCL Balaji FS Yellapur,Telangana,Warangal,Warangal Karimnagar Hwy Yellapur Telangana-506731,18.0879889,79.0023376,TATA Power Company Limited
5,IOCL Kindhula pullaiah Oil FS,Telangana,Bhadradri Kothagudem,Aswapuram Telangana-507116,17.8408068,80.8265143,TATA Power Company Limited
6,IOCL Balaji Service Station Khamman,Telangana,Khammam,Khammam Urban Khammam dist Telangana-507003,17.2505731,80.1425963,TATA Power Company Limited
7,IOCL Vishwambhara FS,Telangana,Mahaboobnagar,Warangal,18.1868759,79.6998741,TATA Power Company Limited
8,IOCL Sudhakar SS Huzurabad,Telangana,Karimnagar,Huzurabad karimnagar dist Telangana-505468,18.2018989,79.3945188,TATA Power Company Limited
9,IOCL Sri venkareshwara FS Banswada,Telangana,Kamareddy,Banswada Kamareddy Telangana- 503187,18.3952655,77.87759,TATA Power Company Limited
10,IOCL Santosh SS Vemulawada,Telangana,Rajanna Sircilla,Vemulawada Telangana-505302,18.4598342,78.8657356,TATA Power Company Limited
11,IOCL Sai baba Filling point varni,Telangana,Nizamabad,Varni S N Puram Nizamabad Telangana,18.5326769,75.7871246,TATA Power Company Limited
12,IOCL Sri Ramakrishna FS Manthani Peddapally,Telangana,Karimnagar - Peddapalli,Manthani Peddapally Area Telangana-505184,18.6452,79.6684,TATA Power Company Limited
13,IOCL Janapriya FS Yellandu,Telangana,Bhadradri Kothagudem,Yellandu Bhadradri Kothagudem Telangana-507123,17.5844055,80.0659615,TATA Power Company Limited
14,IOCL Shiva Sai filling station (KSK) Gandhari,Telangana,Nizamabad,Gandhari kamareddy Nizamabad Telangana -503114,18.7443833,77.7159756,TATA Power Company Limited
15,IOCL Sri laxmi narasimha swamy Filling st Birkoor,Telangana,Nizamabad,"Bikroor, Kamareddy Nizamabad Telangana-503321",18.4569676,77.79995457,TATA Power Company Limited
16,IOCL Prakash FS Nizamabad,Telangana,Nizamabad,Nizamabad Lalitha Telangana- 503001,18.6840417,78.0042703,TATA Power Company Limited
17,IOCL AP prison Department,Telangana,Warangal,"Mattewada, Warangal urban Telangana-506001",17.9945389,79.525725,TATA Power Company Limited
18,IOCL sri sai venkateshwara FS Tekulpally,Telangana,Bhadradri Kothagudem,Khammam Telangana-507123,17.5596926,80.4792957,TATA Power Company Limited
19,IOCL Yadadri Filling station,Telangana,Warangal,Warangal,17.9948936,79.4206553,TATA Power Company Limited
20,Kona Vijay shankar filling station,Telangana,Malkajgiri Medchal,"Survey No. 227/1Bahadurpalle Village Qutubullapur Mandal, Telangana-500043",17.5613,78.4282,TATA Power Company Limited
21,Srinidhi Service station Nizampet,Telangana,Ranga Reddy,"Survey No.305 Nizampet Village Qutubullapur madal, Telangana- 500049",17.5174,78.3786,TATA Power Company Limited
22,Srinidhi Service station Nizampet,Telangana,Ranga Reddy,"Survey No.305 Nizampet Village Qutubullapur madal, Telangana- 500049",17.5174,78.3786,TATA Power Company Limited
23,"Kona Vijay shankar filling station, Bahadurpalle",Telangana,Malkajgiri Medchal,"Survey No. 227/1Bahadurpalle Village Qutubullapur Mandal, Telangana-500043",17.5613,78.4282,TATA Power Company Limited
24,SLNS FS Rangareddy Nanakramguda,Telangana,Ranga Reddy,"Survey No. 148/2, Nanakramguda serilingampally mandal Rangareddy dist telangana-500032",17.4196,78.3501,TATA Power Company Limited
25,SLNS FS Rangareddy Nanakramguda,Telangana,Ranga Reddy,"Survey No. 148/2, Nanakramguda serilingampally mandal Rangareddy dist telangana-500032",17.4196,78.3501,TATA Power Company Limited
26,Tejaswi Automobiles Siddipet,Telangana,Siddipet,"S.F. No. 198/3 Hyderabad Road, Pannala, beside HP petrol pump siddipet telangana-502103",18.1018,78.852,TATA Power Company Limited
27,OPDSS Hotels &Resorts NH 65 Budhera,Telangana,Sanga Reddy,"NH 65 Near kamkol roll plaza Budhera, marpally road, telangana- 502345",NA,NA,TATA Power Company Limited
28,"Hotel vididhi, kothagudem",Telangana,Nalgonda,"survey no. 173/2 174/6 state
highway 2 Nam expressway miryalguda highway, modgulapally",16.9918,79.4406,TATA Power Company Limited
29,Synergy car case champapet,Telangana,Ranga Reddy,"17-1+386/A/2/10, mallareddy complex beside SN reddy gardens sagar road champaper Hyderabad",17.3463,78.5196,TATA Power Company Limited
30,OPDSS Hotels & Resorts Kanimetta,Telangana,Wanaparthy,"NH 44 Bangalore Hyderabad Hway mandal Kothakota kanimetta, Telangana-509381",16.426258,77.939407,TATA Power Company Limited
31,Orange Auto Attapur,Telangana,Ranga Reddy,"opp pillar No.92, Door no. 13-6- 432/A Gudimalkapur Attapur, Hyderabad-500028",17.38,78.4269,TATA Power Company Limited
32,Orange Auto Medchal,Telangana,Medchal Malkajgiri,Plot No.1 to 10 shree enclave athwelly village  medchal Hyderabad-501401,17.6467,78.4385,TATA Power Company Limited
33,IOCL PSVL FS Mungala Mandal,Telangana,Suryapet,Barakathgudem vilage mungala mandal suryapet dist Telangana- 508201,17.0303,79.8545,TATA Power Company Limited
34,IOCL Sri durgamata Nalgonda mandal,Telangana,Nalgonda,"IOCL dealer sy No. 350/Kha GV fudem, N# 65 Nalgonda Mandal Telangana-508001",17.0214664,79.2377007,TATA Power Company Limited
35,IOCL Rajyalaxmi FP Mahaboobnagar,Telangana,Mahaboobnagar,NA,16.7650391,78.1253426,TATA Power Company Limited
36,IOCl Durga Indhan Kando NH 9,Telangana,Sanga Reddy,"Sy No.809, Kandi village sangareddy mandal Telangana- 502285",17.5590633,78.0551691,TATA Power Company Limited
37,IOCL Sai ratna Ro DVK Road,Telangana,Nalgonda,Indian oil dealer Sy No.128 DVK Road Nalgonda town Telangana- 508001,17.0433256,79.2640436,TATA Power Company Limited
38,IOCL Sri sangameshwara FS Narayankhed,Telangana,Sanga Reddy,"Survey No.29/2AA H.No.2-3-153
Narayankhed Sangareddy dist Telangana",18.0363502,77.7775758,TATA Power Company Limited
39,IOCL RP FS Kattanagoor,Telangana,Nalgonda,"Indian oil dealer sy no. 28-32 Pamanagundla (V), kattanagoor
(M) Telangana-508205",17.1784052,79.2578581,TATA Power Company Limited
40,IOCL Sri Sai Raghava Sangareddy,Telangana,Sanga Reddy,Sy No. 123/AA Sangareddy Telangana-502001,17.6189498,78.093581,TATA Power Company Limited
41,IOCL Laxmi Narasimha sadasivpet,Telangana,Sanga Reddy,NH. 65 survey No. 35/AA Suraram sadasivpet sangareddy Telangana-502291,17.6279308,77.9058223,TATA Power Company Limited
42,IOCL Express way FS Malkapur,Telangana,Sanga Reddy,Indian Oil dealer sy no. 210 malkapur village Telangana- 502295,17.5972051,78.0538113,TATA Power Company Limited
43,IOCL Sri sai FS Malkapur,Telangana,Sanga Reddy,Sy No. 369 malkapur kondapur sangareddy Telangana-502994,17.5993067,78.0493584,TATA Power Company Limited
44,S4 Food court,Telangana,Siddipet,SH I sy No. 9/10 Rimmanaguda village Telangana-502312,17.8625,78.7413,TATA Power Company Limited
45,IOCL Sri Balaji FS Huzurnagar,Telangana,Nalgonda,sy No. 243/A1 Gopalapuram (v) Huzurnagar Telangana 508204,16.9125607,79.8452118,TATA Power Company Limited
46,IOCL 7 Hills FS Jedcharla,Telangana,Mahaboobnagar,Dhaba opp police s Trg center jadcherla Telangana-509301,16.7936602,78.1401494,TATA Power Company Limited
47,IOCL Raja Rajeshwari FS Jogipet,Telangana,Medak,sy No. 86 jogipet medak dist Telangana-502273,17.9019942,77.9805793,TATA Power Company Limited
48,IOCL Garine Koteshwara Rao & Co Kodada,Telangana,Suryapet,Main Road Khammam X Road Kodada Telangana-508206,16.9943051,79.9741113,TATA Power Company Limited
49,IOCL Sainath Filling station medak,Telangana,Sanga Reddy,Kohir X Roads (GTK-2006) Medak Dist Telangana-502321,17.6608051,77.7224113,TATA Power Company Limited
50,Select cars SVP Road,Telangana,Warangal,No. 15-1-315 Sri Vishnu priya coplex SVP road (NH 163)beside Ramakrishna Theater,17.7992,79.5856,TATA Power Company Limited
51,"Sree venkateshwara Motors, Bargaon",Telangana,Nizamabad,"No. 1/4, 1A Hyderabad Road Bargaon madhavngar Nizamabad, Telangana-503230",18.6564,77.8599,TATA Power Company Limited
